Title,Price,Type,Description
Toyota Tacoma TRD Off Road 2018 Orange,"_ 42,000,000",Foreign Used,"Super clean Tacoma
Ac Intact
Engine and gear in great condition 
Neat Interior
*No Rust*
Pure buy..."
Toyota Sienna XLE AWD 2008 Blue,"_ 4,935,000",Local Used,
Mercedes-Benz M Class ML 350 4Matic 2013 Black,"_ 28,000,000",Foreign Used,2013 black Ml 350 keyless entry foreign used car with fully duty paid tin can cleared buy and drive...
Toyota Tundra 2017 Black,"_ 40,000,000",Foreign Used,"Toyota tundra pickups 2017 model full options with first body 
Tin can cleared 
Navigation system..."
New Toyota Land Cruiser 2023 Black,"_ 174,000,000",Brand New,"The New Toyota LandCruiser VX is a four-wheel drive 4 door with 7 seats, powered by V6 engine that..."
Toyota Highlander Sport 2008 Green,"_ 11,700,000",Local Used,First body toks standard registered Toyota highlander waiting for a lucky buyer everything working...
Mercedes-Benz CLA-Class 2021 White,"_ 68,500,000",Foreign Used,2021 Mercedes-Benz CLA250 available for sale. Comes with full option features and more. All...
Toyota Land Cruiser Prado 2.7 2018 Black,"_ 60,000,000",Foreign Used,Clean V4 Toyota Prado 2018 model
Mercedes-Benz M Class 2014 Red,"_ 27,500,000",Foreign Used,"Keyless entry, automatic transmission,leather seat interior, thumbstart ignition, navigation system,..."
Ford Explorer 2016 Black,"_ 24,000,000",Foreign Used,"Extremely super clean ford explorer 2016 black colour,accidents free, first body, good and neat..."
Toyota Highlander 4x4 2008 Burgundy,"_ 10,000,000",Local Used,Pristine clean complete accident free pre-owned (registered) 2008 toyota highlander v6 engine ......
Mercedes-Benz M Class 2015 Blue,"_ 28,600,000",Foreign Used,"New Arrival, extremely clean, full options, navigation system, reverse camera, extremely clean..."
Land Rover Range Rover Vogue 2021 White,"_ 120,000,000",Foreign Used,Pristine clean 2024 entry Range Rover Vogue Auto biography
Toyota Tacoma 2015 White,"_ 25,000,000",Foreign Used,"White color 
2015 model 
Clean foreign used 
Toyota Tacoma 
Accident free
Papers are all intact..."
Toyota Corolla 2023 Blue,"_ 41,000,000",Foreign Used,"2023 Toyota corolla LE 
Brand new
1.6 engine ... 41m 
1.8 engine ... 46m
2.0 engine ... 48m"
Honda Accord Automatic 2004 Black,"_ 2,250,000",Local Used,"Sharp honda accord ,everything intact with ac cooling, calm soynd v6 engine ... buy and drive ."
Toyota Camry 2015 Red,"_ 16,300,000",Foreign Used,A direct Belgium Toyota Camry 2015 in a very perfect condition with duty.
Toyota Camry SE 2021 Black,"_ 34,000,000",Foreign Used,"Foreign used Toyota Camry sport edition 2021 model with factory dashboard, accident free custom duty..."
Honda Pilot EX 4x4 (3.5L 6cyl 5A) 2005 Silver,"_ 4,500,000",Local Used,Registered Honda Pilots 2005. Neatly used car with absolutely nothing too fix. Just buy & drive....
Acura MDX 2013 Black,"_ 9,400,000",Foreign Used,Acura mdx 2012 model
Toyota Camry 2016 Brown,"_ 15,500,000",Foreign Used,Pure Toks with all accessories intact smooth and easy drive a luxury you can bank on... call let’s...
Toyota Corolla 2004 Gold,"_ 5,500,000",Local Used,Toyota Corolla 2004 Tokunbo standard buy and drive everything is working perfectly
Toyota Sienna LE 7 Passenger 2011 Red,"_ 12,500,000",Foreign Used,2011 Toyota Sienna - a comfortable and feature-packed minivan! Enjoy a smooth ride with its sound...
Land Rover Range Rover Velar P380 SE R-Dynamic 4x4 2018 White,"_ 73,500,000",Foreign Used,2018 RANGE ROVER VELAR P380 SE Clean accident free clean title no single work done on it Comes with...
Toyota Matrix 2009 Gray,"_ 9,500,000",Foreign Used,Toyota matrix 2009 model Gray colour full option and factory navigation system reverse camera from...
Lexus IS 250 2009 Red,"_ 13,000,000",Foreign Used,"Lexus IS250 2009 model with factory fitted AC working perfectly, reverse camera, navigation screen,..."
Mercedes-Benz GLK-Class 2015 White,"_ 26,000,000",Foreign Used,"Pristine perfect, New arrival"
Toyota Sienna LE AWD 2009 Black,"_ 8,500,000",Foreign Used,"Foreign used 2009 model Toyota sienna le, with double power doors, catalyst converter intact,..."
Toyota Corolla 2004 Gold,"_ 5,200,000",Local Used,"Super Clean in/Out, Run & Drive, Nth to Fix, AC"
Lexus RX 2022 Gray,"_ 69,500,000",Foreign Used,"Foreign used Lexus rx350 2022 available. 
Condition: Buy and drive, accident free, no issue, full..."
Mercedes-Benz GLE-Class GLE 350 2016 Gray,"_ 40,000,000",Foreign Used,"New entry 
sparkling 
2016 gle350 mercedes benz 
foreign used,
lagos cleared.
sun roof 
thumb..."
Toyota Sequoia 2009 Black,"_ 12,500,000",Local Used,"Extremely clean in and out. Engine, gear and Ac top notch"
Honda Accord 2005 Gray,"_ 2,350,000",Local Used,"Registered honda EOD 2005 qith V6 engine, all components in excellent condition, nothing to fix...."
Toyota Camry 2007 Red,"_ 9,500,000",Foreign Used,Le v6 Toyota Camry 2007
Chevrolet Camaro LT Automatic 2011 Red,"_ 27,000,000",Foreign Used,"Chevrolet camaro convertible, 2011 model, accident free, low mileage, leather interiors, alloyed..."
Mercedes-Benz C300 2013 Gray,"_ 12,550,000",Foreign Used,"Buy and Drive,Good Engine Sound,Low Mileage,Accident Free,Leather Seat,Air Conditioning System,No..."
Lexus ES 330 2006 Gold,"_ 8,800,000",Foreign Used,Lexus ES 330 2006 model Gold colour accident-free first body reverse camera full option full Duty...
Dodge Charger 2022 Black,"_ 79,000,000",Foreign Used,Super Skeek! Scatpack Full Duty Papers Available. All Body parts are in excellent condition. V8...
Toyota Camry 2012 Silver,"_ 13,500,000",Foreign Used,100% accident free machine at its best super clean buy and drive machine... full option kindly come...
Lexus RX 350 2016 Black,"_ 45,000,000",Foreign Used,"Perfect engine
Perfect AC
First body"
Nissan Sentra 2.0 S 2009 White,"_ 5,850,000",Foreign Used,Foreign used. No issues whatsoever. Fabric interior. Automatic transmission. Chilling AC. Good...
Mercedes-Benz GLK-Class 350 4MATIC 2012 Black,"_ 15,500,000",Foreign Used,Clean Mercedes Benz Glk350 black on black with good engine buy and drive
Acura MDX 2011 White,"_ 11,500,000",Foreign Used,"Acura MDX white body colour with brown interior full options with factory navigation system, reverse..."
