Title,Price,Type,Description
Toyota Camry 2003 Green,"_ 3,850,000",Local Used,First owner first body come with camera parked in owner house nothing to fix just buy and drive
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 White,"_ 93,000,000",Foreign Used,"Foreign Used GLE350 2020
HUD
Wireless Charging 
Panoramic Roof 
360 Camera"
Acura MDX 2013 Red,"_ 13,800,000",Foreign Used,In good condition first body buy and drive very clean all documents are intact full options
New Lexus LX 2023 Black,"_ 340,000,000",Brand New,A brand new LX 600 captain seat with original custom duty
Toyota Avensis Verso 2.0 Petrol 2007 Silver,"_ 12,000,000",Foreign Used,"Toyota Avensis Verso 2007 model with factory dashboard, accident free, custom duty fully paid,..."
Lexus IS 250 4WD 2015 Red,"_ 24,000,000",Foreign Used,"Direct Lagos clearing accident Free
DM080*********"
Toyota Camry 2009 Gray,"_ 9,800,000",Foreign Used,"2009 model Toyota Camry XLE with cd/mp3/dvd, no dent, gray color, navigation, neat interior,..."
Mercedes-Benz C300 2010 Gray,"_ 10,500,000",Foreign Used,Clean colourful sparkling top notch ride.
Toyota Highlander XLE 2022 Black,"_ 57,500,000",Foreign Used,Direct 2022 on belt. Vehicle is in pristine condition with rightly paid duty. Almost like brand new...
Toyota Matrix 2006 Red,"_ 7,500,000",Foreign Used,"Clean title 2006 Toyota Matrix key entry, cd/ mp3/DVD, ( fullest option ) total accident-free, no..."
Toyota Highlander 2005 White,"_ 5,100,000",Local Used,"Extremely Super Clean Toyota Highlighter 2005 Model, Everything Great Condition, Silent Untempered..."
Toyota Land Cruiser Prado 2014 Black,"_ 31,000,000",Local Used,2014 Prado v6 upgraded to 2022. Good Deal.
Mercedes-Benz M Class 2012 Gray,"_ 24,000,000",Foreign Used,Foreign used new clearing ml350 for sale
Mercedes-Benz GLA 250 2017 Brown,"_ 29,000,000",Foreign Used,"2017 model of Mercedes Benz GLA 250 brown color
Automatic transmission fullest option with panoramic..."
Mercedes-Benz G-Class G 63 AMG 4MATIC 2020 White,"_ 350,000,000",Foreign Used,"2020 Benz G Wagon G63 AMG 
Duty Paid
Accident Free"
Lexus RX 2002 Gold,"_ 9,050,000",Foreign Used,"Clean Toks deal 
Lexus 2002 RX300 
Everything intact 
Buy and travel"
Lexus ES 350 2010 White,"_ 10,500,000",Foreign Used,"Lexus ES350 toks 
Got a sound engine and a chilling AC"
Toyota Highlander Limited 3.5l 4WD 2013 Black,"_ 17,000,000",Foreign Used,Toyota Highlander 2013 model very clean car
Toyota Sequoia 2010 Black,"_ 19,550,000",Foreign Used,"First Body,Accident Free,Nothing To Fix,No mechanical issues,Everything Working perfectly..."
Lexus RX 2012 Black,"_ 15,000,000",Local Used,"Sharp and neatly used RX350 2012
Silent engine
Smooth gear
Ac chilling high
Engine and gear..."
Toyota HiAce 2009 Black,"_ 14,500,000",Foreign Used,Super clean nothing to fix just buy and drive
Toyota Corolla 2017 Blue,"_ 15,700,000",Foreign Used,"Newly arrival of Toyota Corolla SE 2017 model 
Blue color,
Automatic transmission 
Amazing black..."
Mercedes-Benz CLK 2003 Silver,"_ 6,500,000",Foreign Used,"Fresh clean accident free on first body Benz clk320 moving like plane , convertible roof ,..."
Mercedes-Benz C300 2012 Black,"_ 15,000,000",Foreign Used,"Foreign Used Mercedes-Benz C300 2012
Everything working excellently
Buy and drive condition"
Lexus RX 330 2006 Blue,"_ 8,000,000",Foreign Used,Very clean and sharp nothing to fix just buy and drive
Lexus RX 330 2004 Gold,"_ 12,500,000",Foreign Used,"Foreign used Lexus Rx 330
Year 2004
Sound Engine 
Upholstery very okay 
Perfect transmission 
Ac..."
Mercedes-Benz E350 2010 Gray,"_ 13,850,000",Local Used,"Super clean Used 
Mercedes-Benz E350 2010 model
Upgraded to 
2015 model
Full option 
Reverse camera..."
Toyota Land Cruiser 4.5 V8 GXR 2019 Black,"_ 70,000,000",Local Used,"2019 unregistered Toyota Land Cruiser, grade A,Duty"
Toyota Sienna XLE AWD 2006 Blue,"_ 7,500,000",Local Used,Clean 2006 full option sienna
Lexus RX 2010 Blue,"_ 16,700,000",Local Used,"Less than 6months registered 2010 RX350
Absolutely nothing to fix
Buy and drive"
Mercedes-Benz G-Class G 63 AMG 2021 White,"_ 350,000,000",Foreign Used,"Odogwu deals 
foreign used mercedes g63 / amg v8 biturbo 2021model"
Honda Crosstour 3.5 FWD 2012 Black,"_ 9,000,000",Foreign Used,Very clean tokunbo vehicle with giveaway price ... everything is working perfectly.
Toyota Land Cruiser 4.5 V8 GXR 2016 White,"_ 80,000,000",Foreign Used,Toyota land cruiser 2016model White colour full option keyless with navigation system Bluetooth...
Land Rover Range Rover 2011 Black,"_ 10,000,000",Local Used,"Extremely clean car,this car was bought as direct Belgium,driven for just a month n then relocation..."
Mercedes-Benz M Class ML 350 4Matic 2012 Black,"_ 31,000,000",Foreign Used,"2015 ML350 BENZ ... 
 Foreign Used
  Toks 
 Tumbstart 
 Engine v6
 Price ... 31m"
Toyota Camry 2010 Silver,"_ 11,500,000",Foreign Used,"Tincan clearing,duty paid, navigation system, reverse camera, Bluetooth,alloy wheel, keyless,..."
New Toyota Land Cruiser Prado 2024 Matt Black,"_ 162,999,999",Brand New,"Newest Shape 2024 Toyota Landcruiser Prado 2.4L Turbo, No Duty, Contact for more info."
Toyota Land Cruiser 2019 Black,"_ 87,000,000",Local Used,"Pre-owned 
(brought brand new from yankee )
17miles 
 2019 toyota land cruiser 
* thumstart ignition..."
Toyota Corolla 2006 Gold,"_ 5,000,000",Local Used,"An excellent 06 corolla with all mechanism intact. Engine, transmission and Ac all untampered with..."
Lexus ES 2013 White,"_ 22,500,000",Foreign Used,Accident Free. Perfect and So clean
Toyota Land Cruiser Prado 2.7 VVT-i 2015 Black,"_ 37,500,000",Local Used,Toyota Land cruiser Prado sound engine and gearbox AC chilling buy and drive nothing to fix
Toyota Corolla 1.8 2008 Gray,"_ 9,500,000",Foreign Used,Toyota Corolla 2008 for sale
Hyundai Elantra 2013 Black,"_ 9,000,000",Foreign Used,"Full opinion and is keyless with said mirror pointers and Bluetooth
Full duty pay and is super Kline"
Toyota Verso 1.6 2009 Blue,"_ 3,000,000",Local Used,Toyota verso hatchback 2004 model in piston condition everything blessed with original custom duty
Toyota Corolla 2016 White,"_ 12,800,000",Local Used,Few months used TOYOTA COROLLA with original duty. Unquestionable grade  Belgium escape
Lexus NX 200t AWD 2016 White,"_ 37,500,000",Foreign Used,"Foreign used 2016 NX200T Lexus. Keyless, white on creamy interior, reserved camera, bluetooth,..."
Lexus ES 330 2006 Silver,"_ 5,700,000",Local Used,Lexus es 330 Nigerian used tokunbo standard super clean painted on first body everything working...
Toyota Sequoia 2007 Black,"_ 9,000,000",Foreign Used,"Foreign used Toyota Sequioa 2007 model black color with complete airbags, AC chilling perfectly..."
Ford Edge 2010 Red,"_ 9,500,000",Foreign Used,"2010 Ford edge limited edition... in very good condition 
Customs duty available"
Toyota Sienna XLE Limited 2007 Gray,"_ 10,550,000",Foreign Used,Very clean foreign used toyota sienna with leather interior and good working engine and gearbox...
Acura MDX 2011 Silver,"_ 9,800,000",Foreign Used,"Full option with reverse camera and navigation
Accident free
Chilling Ac
Perfect condition
Low..."
Mercedes-Benz C300 2009 Black,"_ 8,500,000",Local Used,"Extremely super clean 
nigeria used 
not registered 
mercedes benz c300 
2009 full upgrade 2013..."
Dodge Charger 2023 Black,"_ 87,500,000",Foreign Used,Direct 2023 Dorge Charger Scatpack 392-HEMI. In perfect and exquisite condition inside and outside....
Lexus RX 350 AWD 2014 White,"_ 24,000,000",Foreign Used,"A buy and drive vehicle,no dents, with complete accessories,sharp interior and sound engine"
Hummer H2 2009 White,"_ 9,450,000",Local Used,Toyota hummer bus clean in and out but ac not working
Toyota Corolla 2016 Gray,"_ 16,550,000",Foreign Used,Super clean accident free direct Belgium 2016 model Toyota Corolla with original duty.
Ford Edge 2014 Silver,"_ 8,850,000",Local Used,Very clean 2014 ford edge limited edition available for sale in good condition. Fully loaded. Buy...
Hyundai Sonata 2012 Silver,"_ 9,500,000",Foreign Used,"Super clean accident free, 2022 entry not use not registered, Tokunbo direct... Engine and gear no..."
Toyota Matrix 2004 Silver,"_ 4,790,000",Local Used,"CLASSY OFFER! 
Just _4.790m
GRADE A 
Super Clean and Sound Toyota Matrix
2004 Model 
Working..."
Hyundai Sonata SE 2022 Black,"_ 30,000,000",Foreign Used,This car is just equivalent to brand new one. The gear is continuously variable transmission (cvt)....
Toyota Tacoma 2014 Black,"_ 27,500,000",Foreign Used,"TOYOTA TACOMA, Pre-Runner, 2014 model, Direct Tokunbo, the Car for everyone, Everything working..."
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,"_ 34,500,000",Foreign Used,Foreign used Ml 350 model 2017 going for sale genuine duty paid new entry extremely clean in and out...
Toyota Camry 2013 Green,"_ 13,000,000",Foreign Used,"Newly arrival of Toyota Camry LE 2013 model 
Automatic transmission with amazing interior 
Leather..."
New Toyota Camry XSE Auto AWD 2024 Black,"_ 85,000,000",Brand New,"2024 Toyota Camry GLE, brand new with duty"
Toyota Highlander Limited 3.5l 4WD 2013 Gray,"_ 20,000,000",Foreign Used,"Toyota Highlander limited edition full options with factory navigation system, reverse camera,..."
Mercedes-Benz C230 2005 Black,"_ 3,300,000",Local Used,Good engine and Gear working perfect AC working perfect
Honda Accord 2000 Green,"_ 1,700,000",Local Used,"Extremely clean 
Body and interior super clean and sound 
Engine very sound"
Ford Mustang 2019 Red,"_ 36,500,000",Foreign Used,Forigen used Ford mustang everything working perfect
Lexus RX 2018 Blue,"_ 48,500,000",Foreign Used,Fresh entry 2018 Lexus Rx350... premium Trim... No Error Recorded... Buy and Enjoy This Lovely...
Lexus GX 470 2009 Red,"_ 17,150,000",Foreign Used,"Clean Lexus GX470, 2009 model, leather seat, navigation system, reverse camera, air conditioner..."
Acura MDX 4dr SUV (3.5L 6cyl 6A) 2015 Black,"_ 18,600,000",Foreign Used,"Newly arrived acura mdx, 2015 model, black color, alloy wheel, leather seat, ac with cd player, in a..."
Toyota Tundra 2016 Brown,"_ 34,500,000",Local Used,"*2016 TUNDRA Platinum, 2months registered, February 2024 entry, accident free, first body, car is..."
Lexus RX 350 2017 Black,"_ 48,000,000",Foreign Used,A foreign-used 2017 Black Lexus RX 350 luxury in excellent condition. This luxury SUV is known for...
Toyota Camry 2012 Gray,"_ 14,500,000",Foreign Used,"2012 Toyota Camry SE,
Gray color ,
Very clean ,
Full option 
Accident free,
Automatic..."
Land Rover Range Rover Vogue 2012 Black,"_ 20,500,000",Foreign Used,"Range Rover 2012 model, Ton start, keyless. follow com navigation with reverse camera. Is..."
New JMC Vigus 2023 White,"_ 53,000,000",Brand New,"Brand new JMC pickup truck
2023 model
1.5t
Duty fully paid
Manual transmission
Ready for purchase"
Hyundai Sonata Limited 2021 Black,"_ 38,850,000",Local Used,Mint 2021 Hyundai Sonata limited edition with fully loaded package in superb condition better than...
Toyota Hilux 2022 Gray,"_ 60,000,000",Foreign Used,"Toyota Hilux 
2022 Model
One and half cabin 
Leather interior 
Reverse camera 
Bluetooth 
Navigation..."
Lexus GS 350 2012 Black,"_ 13,400,000",Local Used,Razor Sharp Lexus ES350 barely used in top notch... Duty paid
Toyota Matrix 2013 Black,"_ 13,550,000",Foreign Used,"Beautiful interior
Perfect Condition
sound Engine and gear
Reverse camera and navigation
Accident..."
Toyota Camry 2016 Black,"_ 18,900,000",Foreign Used,2016 black toyota camry xle keyless entry V6 engine foreign used with fully duty paid tin can...
Mercedes-Benz GLK-Class 2015 Red,"_ 24,000,000",Foreign Used,"Mercedes Benz glk350 4matic 2014 model.
Full option 
Panoramic roof, thumb start, custom duty fully..."
BMW 7 Series 2011 Blue,"_ 14,000,000",Foreign Used,"BMW 750li series in a good condition, direct Belgium, nothing to fix, buy and drive. Wal."
Mercedes-Benz GLE-Class GLE 350 2020 White,"_ 86,000,000",Foreign Used,"Super Clean Toks New Arrival GLE 350 2020 white on Black interior panoramic roof thumb start, 360..."
New Toyota Land Cruiser 3.5 Petrol 4WD 2022 Black,"_ 350,000,000",Brand New,"*Brand New Bulletproof SUV for Sale*
2022/2023 model Toyota Land Cruiser, Level protection, armoured..."
Hyundai Sonata 2017 Blue,"_ 16,800,000",Foreign Used,Hyundai sonata 2017 model full option keyless with factory dashboard and leather seats well custom...
Toyota Avalon 2013 Gold,"_ 23,000,000",Foreign Used,"Toyota Avalon Limited 2013 Gray,
Very clean,
Limited Edition,
Accident free,
Factory Edition,
No..."
Toyota Camry 2010 Silver,"_ 5,290,000",Local Used,"Fairly used Toyota Camry 2010 model, fullest option 
super exterior 
clean interior 
perfect..."
Lexus RX 330 4WD 2005 Silver,"_ 12,000,000",Foreign Used,Very clean accident free Lexus RX330 2005 model with panoramic roof. Tincan cleared no dent with...
Toyota Land Cruiser 5.7 V8 GXR 2020 Black,"_ 75,000,000",Foreign Used,Premium vip Toyota landcruser 2015 upgraded to 2020 with full duty paid best deal u can get now call...
Toyota Venza V6 2010 Black,"_ 18,000,000",Foreign Used,"Foreign used Toyota Venza 2010 model with red colour, cd/mp/dvd, no dent, accident free, full..."
Honda Civic 2017 Red,"_ 16,800,000",Local Used,"3 months registered Honda Civic with everything intact... 
Clean fabric interior 
Smooth gear..."
Toyota Camry 2008 Black,"_ 4,800,000",Local Used,. Engine has top noise and Gear is good.
Toyota Highlander 2018 White,"_ 28,500,000",Local Used,"In perfect condition, buy now and appreciate YESbestDeals !! 2016 model"
Toyota Camry 2009 White,"_ 10,000,000",Foreign Used,"Toyota Camry 2009 model full option v6 engine, accident free car with factory dashboard and leather..."
Toyota Highlander V6 2005 Blue,"_ 10,500,000",Foreign Used,Toyota Highlander Engine in good condition everything working fine.
Lexus RX 350 AWD 2017 Red,"_ 35,500,000",Local Used,"Clean as seen 
Tok standard 
First body
Nothing to fix"
Toyota Highlander 2003 Burgundy,"_ 4,700,000",Local Used,2003 Highlander with 4 plugs engine. Buy and enjoy
Toyota Sequoia 2004 Green,"_ 5,900,000",Foreign Used,Foreign used Toyota sequoia green Lagos tincan cleared duty paid buy and drive everything working...
Toyota 4-Runner 2015 Black,"_ 53,000,000",Foreign Used,"Newly arrival Toyota 4 runner, black on black interior,
2015 model,
Accident free,
Blueteeth voice..."
Toyota Tacoma 2007 Gray,"_ 9,300,000",Local Used,Neatly used with untouched gear and engine.
Lexus GX 460 2011 Black,"_ 28,500,000",Local Used,"Super Clean
Top Grade
Thumbstart
Reverse Cam
Open Roof
GPS Navi
Leather seats
CD Player
Chilling..."
Toyota Matrix 2004 Blue,"_ 6,200,000",Foreign Used,"Extremely Clean Toks 2004 Toyota Matrix XR Sport, Accident free, Alloyed Rims, zero faults. 
Price:..."
Mercedes-Benz GLC-Class 2017 Black,"_ 45,000,000",Foreign Used,Super clean and Sharp fully loaded with all the options
Mercedes-Benz GLC-Class 2018 Black,"_ 38,000,000",Foreign Used,"*MERCEDES BENZ GLC 300*
 Keyless Fullest Option
_ _ 
_ *Model:* 2017
_ *Price: _38M
_ *Location:*..."
Toyota Corolla 2010 Blue,"_ 11,200,000",Foreign Used,"Newly arrival of Toyota Corolla S 2010 model, blue color 
Automatic transmission, fabric seats..."
Lexus GX 470 Sport Utility 2005 Blue,"_ 18,500,000",Foreign Used,"Lexus Gx 470 2005 model,
Accident free,
Duty fully paid,
All factory navigation working perfectly..."
Honda Accord 2016 Black,"_ 16,500,000",Foreign Used,"Very clean Honda Accord Sport 2016 model Black color 
Accident free
Good and neat interior
Lagos..."
Mercedes-Benz SC-Class 2007 Black,"_ 10,000,000",Local Used,Top notch grade Mercedes Benz S550 2007 model at owners house
Lexus LX 570 (5 seats) AWD 2015 Gray,"_ 45,000,000",Foreign Used,"Full options LX570 2015 model in good condition,duty paid, tin can cleared , DVD player Fm radio..."
Lexus ES 350 2009 Silver,"_ 8,500,000",Local Used,Come check out this super duper sharp Lexus ES350 2009 model fullest option with everything blessed...
Toyota Corolla 2012 Black,"_ 5,750,000",Local Used,"Silent engine 
Good transmission 
Clean fabric seat 
Chilling factory ac
Neatly sprayed body 
Alloy..."
Toyota Tacoma Double Cab V6 Automatic 2009 Black,"_ 15,000,000",Foreign Used,Toyota Tacoma full opinion with steering control... Super clean and sharp
Toyota Camry 2002 Green,"_ 2,000,000",Local Used,First body Pencil Camry is available for serious buyer.
Toyota Corolla 2003 Gold,"_ 4,200,000",Local Used,"This Toyota corola 2003/2004 the Engine, Gear , Ac is working perfect no fault on this car yet just..."
Pontiac Bonneville SE 2003 Silver,"_ 7,000,000",Foreign Used,"Highly neatly used pontiac vibes 2003 model,silver colour,accident free,first body,good and and neat..."
Toyota Corolla 2010 Red,"_ 11,700,000",Foreign Used,Foreign used Corolla model accident free 2010 new imported going for sale genuine duty paid...
Lexus RX 350 2012 Black,"_ 19,800,000",Foreign Used,"Lexus Rx350 2012 model black body with Ash interior full options with factory navigation system,..."
Toyota RAV4 2.5 4x4 2010 Black,"_ 7,300,000",Local Used,Super clean rav4 2010 with venza engine. Buy and zoom
Mercedes-Benz GLC-Class 2016 Black,"_ 50,000,000",Foreign Used,"Full options GLC 300 2016 model 
In good condition 
First body 
Air conditioners 
Airbags 
AM /FM..."
Toyota Yaris 1.3 VVT-i Automatic 2008 Silver,"_ 7,500,000",Foreign Used,"Foreign Used Toyota Yaris 2008 model, basic option, fabric seat, black interior, CD player,..."
Ford Fusion 2017 Black,"_ 12,500,000",Foreign Used,"This is as clean as brand new. Both in and our is clean and sharp. Lagos cleared, full duties paid."
Toyota Avalon 2013 White,"_ 25,000,000",Foreign Used,Avalon car 2013 model with wireless charging cool ac cool interior and underneath cool engine sound...
Toyota Hilux 2014 Blue,"_ 18,500,000",Local Used,Toyota Hilux petrol engine manual gear 2014 clean and working perfectly well
BMW 8 Series 2022 Green,"_ 145,000,000",Foreign Used,Extremely clean bmw M8 for sale with original custom duty.
Lexus RX 350 AWD 2009 Green,"_ 12,000,000",Foreign Used,"Rxc 350,2009 model,first body accident free,buy and drive"
Mercedes-Benz GL-Class GL 450 2008 Black,"_ 6,500,000",Local Used,2008 GL 450 V8 Engine smooth ride
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Black,"_ 68,500,000",Foreign Used,"Tincan cleared 
Full duty paid 
Fullest options 
Extremely clean first body 
Super clean leather..."
Toyota Corolla 2007 Black,"_ 8,000,000",Foreign Used,"Foreign use 2007 Toyota Corolla with everything working perfect, absolute buy and travel."
Honda CR-V 2021 Blue,"_ 33,500,000",Foreign Used,"Extremely clean registered 
Bought brand new 
Used for few months 
Clean more than foreign used"
Toyota Camry Automatic 1991 Gold,"_ 2,600,000",Local Used,"Toyota Camry 
Engine, Gear and Ac are working perfectly, buy and drive"
Toyota Sequoia 2012 Gray,"_ 19,800,000",Foreign Used,"Newly arrived toyota sequoia platinum, 2012 model, gray color, alloy wheel with leather seat, ac..."
Toyota Sienna 2006 Blue,"_ 4,750,000",Local Used,Clean Ride in n out umuahia location
Mercedes-Benz M Class ML 350 BlueTEC 4Matic 2013 Black,"_ 19,650,000",Foreign Used,"Mercedes Benz ML350 BlueTEC Model
Foreign Used
Diesel Engine
Super Clean"
Mercedes-Benz M Class ML 350 4Matic 2011 White,"_ 10,000,000",Foreign Used,Full options with very clean interiors and exterior
Toyota Highlander 2017 White,"_ 32,000,000",Foreign Used,Accident free. Perfect condition. Full option with pano and Thumbstart. Full custom duty paid
Ford F-250 2014 White,"_ 68,000,000",Foreign Used,"2010 Ford pick up van as New as the engine, gear, millage, body and under neat hurry while offer..."
Lexus IS 350 2007 Silver,"_ 8,180,000",Local Used,"Super clean buy and drive first to pay wins 
 comes sign 3d seat cover and android screen super..."
Toyota Corolla 2006 Gray,"_ 3,650,000",Local Used,"2006 on beat, engine gear working perfectly okay nothing to fix on this car, buying and traveling"
Toyota Tundra Limited Access Cab 2005 Red,"_ 7,500,000",Foreign Used,Tundra TRD 2005 model double cabin in good condition foreign use call for details
Toyota Camry 2.4 LE 2008 Black,"_ 5,500,000",Local Used,"A very neat Toyota Camry ,new engine and gear with a chilling ac ,factory barked"
Volkswagen Passat 2011 Silver,"_ 4,900,000",Local Used,Volkswagen Passat CC 2.0 L Engine 2011
Mercedes-Benz GLA 250 2015 Red,"_ 28,500,000",Foreign Used,"Super clean GLA250:
4MATIC all wheel Drive type,2.0L 1-4 Engine
7-spd auto-shift man w/OD..."
Mercedes-Benz C300 2014 Black,"_ 18,000,000",Local Used,Neatly used 2014 GLK350 4matic. As clean as Foreign used. All Body parts are in excellent condition....
Mercedes-Benz C300 2013 White,"_ 13,300,000",Foreign Used,"Navigation system, factory leather seats, reverse camera, navigation system, Lagos clearing, factory..."
Lexus RX 350 2015 Burgundy,"_ 34,500,000",Foreign Used,"This a clean title car
No prior painting 
Accident free
Actual mileage 
Genuine papers"
Honda Accord 2014 Gray,"_ 11,950,000",Local Used,An extremely clean registered Honda Accord in an excellent condition buy an drive now available
Lexus RX 2005 Gold,"_ 8,000,000",Foreign Used,Direct tonkunbo. Sound engine and gear. Chilling ac. No leg work. Unpainted
Lexus RX 350 2018 Gray,"_ 57,000,000",Foreign Used,"2018 RX350 L LEXUS Comes with factory fitted reverse camera,factory fitted AC,open roof,thumb..."
Lamborghini Aventador 2014 Gray,"_ 950,000,000",Foreign Used,"It is in buy and drive , carbon fiber , leather interior , a/c, alloyed wheel, power steering, power..."
Toyota Camry 2018 Black,"_ 44,000,000",Foreign Used,2022 XSE V4 sharp and clean interior
Toyota Venza V6 AWD 2010 Black,"_ 19,500,000",Foreign Used,"Very clean foreign used toyota venza 2010 with cd/dvd, navigation, 
full options,
accident free,..."
Toyota Sienna XLE 2005 Blue,"_ 8,500,000",Foreign Used,Duty paid working perfectly fine with no fault.
Toyota Camry 2013 Gray,"_ 15,700,000",Foreign Used,"Fresh arrived 
2013 toyota camry sport fullest option v6
 * tokunbo* 
* thumbstart ignition 
*..."
Toyota Camry 2013 White,"_ 14,500,000",Foreign Used,Clean and perfect condition custome duty paid accident free
Toyota Avalon 2015 Gold,"_ 23,000,000",Foreign Used,"Foreign Toyota Avalon 2015 Luxury car extremely clean 100% Accident free New arrival, with..."
Hyundai Sonata 2012 Silver,"_ 7,000,000",Local Used,"This 2012 Hyundai Sonata is in excellent condition. It offers a comfortable and spacious interior,..."
Toyota 4-Runner 2005 Gray,"_ 8,500,000",Local Used,The car is in perfect condition nothing to fix selling at soft price
Mercedes-Benz C300 2009 Silver,"_ 7,000,000",Local Used,"Clean painted Benz 
Automatic Transmission 
Good engine"
Acura MDX 2015 Black,"_ 16,000,000",Foreign Used,"Full options with navigation system, Reverse Camera and roof DVD player"
Lexus ES 350 FWD 2015 Black,"_ 16,900,000",Local Used,Four months registered clean title es 350 lexus for sale
Skoda Octavia 1.4 2008 Blue,"_ 2,650,000",Local Used,Extremely clean Skoda Octavia. Pay and Drive . Nothing to Fix
Mercedes-Benz M Class 2015 Black,"_ 29,500,000",Foreign Used,"Navigation System 
Reverse Camera 
Leather Seat 
LED Light 
Panoramic Roof
360 Camera 
Leather Seat..."
Honda Accord 1998 Black,"_ 2,812,500",Local Used,
Lexus LX 570 AWD 2014 Black,"_ 45,000,000",Foreign Used,"A very special car with unique features, totally accident free 
Fullest option 
Reverse camera..."
Nissan Quest 2015 Gray,"_ 15,800,000",Foreign Used,"Sharp clean ,sweet leather interior,ac chillin,newly cleared,working perfect and all documents are..."
Mercedes-Benz M Class ML 350 4Matic 2013 White,"_ 27,000,000",Foreign Used,Foreign Mercedes-Benz ML350 4matic Brown on cream interior leather.spec front and back sensor...
Hyundai Sonata 2015 Red,"_ 14,000,000",Foreign Used,_!!distress direct belgium hyundai sonata 2015 with duty
Toyota Tundra Regular Cab 4x4 2011 Gray,"_ 28,000,000",Foreign Used,"2011 tundra pickup, accident free, gray color, newly cleared, 4x4 very clean"
Toyota Corolla 1.8 VVTL-i Compressor TS 2006 Blue,"_ 5,000,000",Local Used,Very neat Toyota Corolla Belgium grade available in Enugu
Volkswagen Passat 2.8 Automatic 2001 Gray,"_ 4,250,000",Foreign Used,"First grade Tokumbo car, first body, V4 engine, everything is intact, it's with me here in enugu..."
Honda Accord 2003 Blue,"_ 2,699,999",Local Used,Super clean and sound accord in a very clean and sound condition
Lexus RX 350 2009 Silver,"_ 13,500,000",Foreign Used,"•  lexus rx350 full Option
 • Year 2009
* / Sensors 
* Panoramic roof
* Proximity sensors 
* Folding..."
Lexus RX 350 2010 Red,"_ 14,800,000",Local Used,"Super Sharp Accident Free, Untampered Engine, Gear and AC Chilling With Valid Papers, Power Booth,..."
Toyota Camry 2003 Gold,"_ 8,500,000",Foreign Used,Accident free... beautiful interior... Perfect condition... Ac is working... Full duty paid
Toyota Highlander XLE AWD 2020 Blue,"_ 60,000,000",Foreign Used,"Toyota Highlander XLE awd 2020,
Full option,
Executive interior,
Factory navigation,
No..."
Toyota Corolla Hatchback 1998 Silver,"_ 5,850,000",Foreign Used,Toyota Obama Hatchback alloy wheel 4plug engine capacity fabric seat interior accident free tincan...
New Toyota Land Cruiser 2023 Black,"_ 225,000,000",Brand New,"Brand new 2023 land cruiser vx.r twin turbo,soft body,duty"
Toyota Matrix 2009 Silver,"_ 11,000,000",Foreign Used,Toyota matrix Direct Belgium with original custom Duty come and see the car thank you 2009
Mercedes-Benz M Class ML 350 BlueTEC 4Matic 2013 White,"_ 27,000,000",Foreign Used,Mercedes Benz fully loaded with keyless entry and panoramic sunroof
Mercedes-Benz GLE-Class 2017 Black,"_ 28,000,000",Local Used,"Toks grade 
few months used 
2013 ml  2017 gle 
with pano roof 
verified duty
keyless 
buy and fly..."
Lexus ES 350 2008 White,"_ 12,500,000",Foreign Used,"Buy and drive nothing to fix 
Panoramic roof 
Reverse camera 
Navigation screen 
Accident free..."
Toyota Camry 2013 Black,"_ 13,500,000",Foreign Used,"This is Toyota Camry SPORT EDITION 2013 model full option, clean title, nothing to worry about,..."
Toyota Highlander 2021 Red,"_ 70,000,000",Foreign Used,In perfect condition Toyota Highlander fullest option panoramic roof wireless charging 360 camera...
Mercedes-Benz C300 2010 White,"_ 11,000,000",Foreign Used,Mercedes Benz C300 2010 model. White color. Cream interior. A very clean car. Buy and drive. Full...
Toyota Land Cruiser Prado 4.0 2020 Black,"_ 37,500,000",Local Used,"Upgraded to 2020
Untouched engine 
Buy and drive 
Ac chilling"
Toyota Starlet 1998 Red,"_ 3,850,000",Foreign Used,"Direct tokumbo, accident free, tincan clearing, open sunroof, right hand drive, full conversion..."
Toyota Camry 2016 Silver,"_ 14,200,000",Local Used,"Register in July, came in in May 2024 as registered on Duty. The car is only 2 months used in..."
Acura MDX 2009 White,"_ 10,850,000",Foreign Used,"Clean Acura MDX 2009 model with clean engine full option with factory navigation system, reverse..."
Toyota Hilux SR5 4x4 2016 Black,"_ 42,000,000",Foreign Used,"Refurbished Toyota Hilux SR5 4x4, 2015 model, accident free, full option, DVD player, Bluetooth/USB..."
Toyota RAV4 Automatic 2003 Silver,"_ 4,000,000",Local Used,Super sharp toyota rav-4 with a proper documentation 2003 model buy and travel
Toyota Corolla Rumion Hatchback 1.8 FWD 2007 Red,"_ 8,500,000",Foreign Used,Toyota Corolla hatchback in a very good condition.
Hyundai Sonata 2018 Red,"_ 23,500,000",Foreign Used,"HYUNDAI SONATA 2018 MODEL RED, extremely clean interior and exterior, just buy and drive. The said..."
Toyota RAV4 2017 Red,"_ 16,000,000",Local Used,"Fabric seat
Automatic Transmission
Power window, door, and seats
AC Working_
CD Player
Bluetooth..."
Lexus RX 350 2013 White,"_ 28,990,000",Foreign Used,IG : @ Tverskayamotors for more discount sales.Extremely clean Lexus RX 350 F.
